trial,epoch,train_acc,train_sym_acc,test_acc,test_sym_acc,pairs,samples,duration
1,1,0.06897356402306898,0.016634996833016634,0.058,0.0106,100,235,146.28376054763794
1,2,0.07627429409607628,0.023235656899023235,0.0633,0.0089,100,470,146.0493869781494
1,3,0.22188885555222188,0.1837850451711838,0.8199,0.8195,100,705,138.33701467514038
1,4,0.9077241057439077,0.9074574124079074,0.949,0.949,100,940,100.99488687515259
1,5,0.9611294462779612,0.9611294462779612,0.9585,0.9585,100,1175,97.85927104949951
2,1,0.08804213754708805,0.024602460246024603,0.052,0.0373,100,235,145.49982833862305
2,2,0.6395972930626396,0.6265293195986266,0.9316,0.9314,100,470,115.51802110671997
2,3,0.9581958195819582,0.9581624829149582,0.9599,0.9599,100,705,98.20732235908508
2,4,0.9805980598059806,0.9805980598059806,0.9724,0.9724,100,940,96.96963381767273
2,5,0.9911991199119912,0.9911991199119912,0.9727,0.9727,100,1175,96.23759150505066
3,1,0.0661066106610661,0.011534486782011534,0.0903,0.0158,100,235,146.4502866268158
3,2,0.07777444411107777,0.023068973564023067,0.1298,0.0334,100,470,145.90274477005005
3,3,0.6008934226756009,0.5832583258325833,0.9205,0.9203,100,705,117.71412396430969
3,4,0.9482948294829483,0.9482614928159483,0.9564,0.9563,100,940,98.90942525863647
3,5,0.9751308464179751,0.9750975097509751,0.9661,0.9659,100,1175,97.42938351631165
4,1,0.058205820582058206,0.012567923459012567,0.0883,0.0106,100,235,146.98183465003967
4,2,0.06017268393506017,0.011934526786011935,0.1055,0.0151,100,470,146.21887493133545
4,3,0.2290895756242291,0.18455178851218454,0.7921,0.7917,100,705,137.89914774894714
4,4,0.905957262392906,0.9057905790579058,0.9448,0.9446,100,940,101.36584973335266
4,5,0.9592959295929593,0.9592292562589593,0.9535,0.9535,100,1175,98.36686682701111
5,1,0.07387405407207387,0.015134846818015135,0.0097,0.0097,100,235,145.85284066200256
5,2,0.07117378404507117,0.0178017801780178,0.1266,0.046,100,470,146.4223175048828
5,3,0.26105943927726105,0.2195886255292196,0.842,0.8409,100,705,135.32998871803284
5,4,0.9108577524419108,0.9106910691069107,0.9364,0.9363,100,940,100.32662391662598
5,5,0.9618295162849618,0.9617295062839617,0.9553,0.9553,100,1175,97.48422694206238
