trial,epoch,train_acc,train_sym_acc,test_acc,test_sym_acc,pairs,samples,duration
1,1,0.31410470156718906,0.2735078359453151,0.1822,0.15,20,94,56.273791551589966
1,2,0.513837945981994,0.4873291097032344,0.7476,0.7456,40,188,48.60987615585327
1,3,0.9086362120706902,0.9083027675891964,0.9224,0.9221,60,282,40.221341133117676
1,4,0.9615705235078359,0.9614871623874625,0.9428,0.9427,80,376,39.07541012763977
1,5,0.9765755251750583,0.9765755251750583,0.9536,0.9536,100,470,38.63658165931702
2,1,0.3141880626875625,0.2870956985661887,0.1654,0.1612,20,94,53.16170334815979
2,2,0.48249416472157386,0.4585695231743915,0.3805,0.3678,40,188,49.33295178413391
2,3,0.7837612537512504,0.7800933644548182,0.9315,0.9313,60,282,42.98799514770508
2,4,0.9577359119706569,0.9577359119706569,0.9506,0.9506,80,376,39.32474207878113
2,5,0.9733244414804935,0.9733244414804935,0.9526,0.9526,100,470,39.02055644989014
3,1,0.36928976325441815,0.34244748249416473,0.1541,0.1502,20,94,52.406726598739624
3,2,0.5025841947315772,0.4822440813604535,0.6574,0.6554,40,188,49.19532251358032
3,3,0.9066355451817273,0.9063021007002334,0.9326,0.9325,60,282,40.4676833152771
3,4,0.9617372457485829,0.9617372457485829,0.9516,0.9516,80,376,39.2519371509552
3,5,0.9734911637212404,0.9734911637212404,0.9523,0.9523,100,470,39.0115807056427
4,1,0.3491997332444148,0.3231077025675225,0.1709,0.1499,20,94,52.69994401931763
4,2,0.5524341447149049,0.5368456152050683,0.8684,0.8678,40,188,48.19301962852478
4,3,0.9223074358119373,0.9223074358119373,0.9258,0.9257,60,282,40.233322620391846
4,4,0.9629043014338112,0.9629043014338112,0.9508,0.9508,80,376,39.26990103721619
4,5,0.9804934978326109,0.9804101367122374,0.9557,0.9557,100,470,38.85700583457947
5,1,0.31852284094698236,0.28059353117705904,0.1899,0.1559,20,94,53.74017405509949
5,2,0.537679226408803,0.5215905301767255,0.8427,0.8423,40,188,48.50717902183533
5,3,0.9223074358119373,0.9221407135711904,0.9318,0.9318,60,282,40.192431926727295
5,4,0.9636545515171724,0.9636545515171724,0.9449,0.9449,80,376,39.21904110908508
5,5,0.9795765255085028,0.9795765255085028,0.9528,0.9527,100,470,38.83007764816284
